"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Bruce Brown","Tor","G-F","28.4","1","19.2","28","7.7","0","0","10","0.6","2","0","0.5","0.5","12","3","1","1","0","1","15","13","16","6.9","96.3","116.6"
"","Mark Williams","Cha","C","23","10","18.3","21.7","7.3","26","0.769","76","0.658","0","0","0.658","0.686","12","7.2","2.1","0.6","1","0.6","19.2","14.1","21.3","12.4","141.3","102.2"
"","Keldon Johnson","San","F-G","25.2","29","24.7","20.8","7.3","77","0.753","182","0.555","108","0.269","0.498","0.536","12","5","1.6","0.8","0.2","0.8","17","13.6","18.6","7.4","110.6","109.5"
"","Terry Rozier","Mia","G","30.8","27","28.7","20.1","12","53","0.887","149","0.47","143","0.322","0.476","0.515","12","4","2.7","0.7","0.4","1.5","16.1","14.8","18.8","7.1","104","110.7"
"","Amen Thompson","Hou","G-F","21.9","32","27.8","17.2","18.1","108","0.694","224","0.612","42","0.262","0.577","0.609","11.9","7.1","2.2","1.1","1.1","1.8","19","14.2","21.3","8.2","117.1","100.7"
"","Jabari Smith Jr.","Hou","F","21.6","32","31.2","15.1","8.7","73","0.877","149","0.51","156","0.353","0.52","0.565","11.9","6.7","1","0.3","1","0.9","18.6","12.9","19.6","5.5","118.9","103.8"
"","Caris LeVert","Cle","G","30.4","26","23.9","19.1","14.2","67","0.687","110","0.545","101","0.475","0.626","0.645","11.9","2.7","3.8","1","0.5","1.3","14.7","15.8","18.5","8.3","126","109.7"
"","Jonas Valanciunas","Was","C","32.7","30","19.9","23.7","16.3","66","0.924","242","0.591","19","0.158","0.565","0.614","11.9","8.1","2.3","0.5","0.8","1.7","19.9","14.1","22.2","12.2","117.5","110.6"
"","Jordan Hawkins","Nor","G","22.7","17","24.8","21.6","8.6","42","0.881","79","0.405","102","0.324","0.45","0.501","11.8","2.9","1.1","0.4","0.5","1","14.7","12.8","15.8","5.4","101.8","121.8"
"","Alexandre Sarr","Was","C","19.7","27","27.3","20.2","12.3","60","0.633","165","0.473","126","0.317","0.474","0.495","11.6","6.1","2.1","0.7","1.8","1.5","17.8","13.7","19.9","7.8","100.9","112.9"
"","Keegan Murray","Sac","F","24.4","32","35.5","15","8.1","39","0.872","174","0.54","175","0.286","0.484","0.508","11.6","7.4","1.4","0.7","0.8","1","19","13","20.4","5.6","107.9","109.1"
"","Brandon Boston Jr.","Nor","G","23.1","30","25.4","19.9","12.6","61","0.803","183","0.497","109","0.349","0.507","0.541","11.5","3.3","2.7","1.4","0.2","1.4","14.8","14.2","17.6","7.4","108.2","115.5"
"","Onyeka Okongwu","Atl","F-C","24.1","26","23.5","17.5","9","73","0.767","169","0.627","42","0.238","0.573","0.613","11.5","6.5","1.3","0.7","0.7","0.8","18","12.8","19.3","7.8","126.2","107.9"
"","Corey Kispert","Was","F","25.8","25","26.9","17.3","10.6","32","0.844","91","0.604","146","0.336","0.542","0.566","11.4","3.2","1.6","0.6","0.2","1.1","14.6","12.9","16.2","5.8","107.7","119.5"
"","Jaylen Wells","Mem","F","21.3","33","24.8","17.6","11.2","53","0.811","143","0.531","158","0.373","0.547","0.574","11.3","3.1","1.7","0.5","0.2","1.2","14.4","12.9","16.1","6.3","112.8","108.7"
"","Zach Edey","Mem","C","22.6","20","21.9","18.7","17.2","47","0.638","133","0.632","21","0.429","0.633","0.644","11.3","8","1.1","0.8","1.2","1.6","19.3","12.3","20.3","8.5","121","98.2"
"","Tari Eason","Hou","F","23.6","24","22.8","19.8","8.3","49","0.755","148","0.554","73","0.315","0.527","0.557","11.3","6.3","1","1.9","1","0.8","17.5","12.3","18.6","7.3","117.5","94.8"
"","Scoot Henderson","Por","G","20.9","25","25.8","22.5","20.8","73","0.753","162","0.451","89","0.303","0.452","0.498","11.3","2.8","5.1","1.2","0.2","2.6","14","16.4","19.2","8.4","100.7","112.6"
"","Ochai Agbaji","Tor","G","24.7","32","30.1","13.8","8.4","26","0.654","154","0.591","131","0.412","0.604","0.609","11.3","4","1.9","0.9","0.5","0.8","15.3","13.2","17.1","5.9","120.2","114.9"
"","Bogdan Bogdanovic","Atl","G","32.4","14","25.5","19","15.8","21","0.952","44","0.545","89","0.337","0.519","0.555","11.3","3.1","2.2","0.9","0.3","1.8","14.4","13.5","16.6","6.7","103.6","109"
"","Herbert Jones","Nor","F","26.2","15","32.6","15.8","16.5","34","0.794","83","0.53","58","0.293","0.493","0.532","11.1","4.2","3.2","2","0.5","1.9","15.3","14.3","18.5","6.5","106.1","112.8"
"","Duncan Robinson","Mia","F","30.7","28","23.5","20.2","8.9","22","0.864","79","0.506","188","0.378","0.549","0.564","11.1","2.4","2.5","0.5","0.1","0.9","13.5","13.6","16","6.9","112.4","106.9"
"","T.J. McConnell","Ind","G","32.8","32","19.7","24.7","14.9","35","0.743","268","0.571","23","0.304","0.562","0.576","11","2.6","4.3","1.2","0.3","1.6","13.6","15.3","17.9","10.1","113.6","115.1"
"","Stephon Castle","San","G","20.2","31","25.1","22.8","15.9","96","0.708","195","0.451","116","0.267","0.432","0.477","10.9","2.5","3.6","0.8","0.3","1.9","13.4","14.5","16.9","7.3","97.6","111.6"
"","Naji Marshall","Dal","F","26.9","26","23.2","18.9","14","42","0.881","151","0.616","63","0.317","0.575","0.609","10.9","3.3","2.2","0.8","0.1","1.3","14.2","13.1","16.3","7.4","117.2","110.7"
"","Andrew Nembhard","Ind","G-F","25","18","26.7","18.4","17.8","42","0.881","111","0.532","41","0.341","0.526","0.578","10.9","3.1","4.9","0.8","0.2","1.8","14","15.8","18.9","8.2","113.7","115"
"","Zaccharie Risacher","Atl","F","19.7","33","23.7","20.9","10.8","76","0.697","187","0.481","142","0.289","0.46","0.491","10.8","3.4","1.2","0.8","0.6","1.2","14.2","12","15.4","6","99.2","110.4"
"","Scotty Pippen Jr.","Mem","G","24.1","33","22.5","20.7","19.4","70","0.671","186","0.538","101","0.366","0.542","0.563","10.8","3.5","5.1","1.1","0.4","2.1","14.3","15.9","19.4","10.3","111.9","102.4"
"","Jose Alvarado","Nor","G","26.7","11","25.6","18.3","12.1","17","0.824","41","0.39","60","0.4","0.515","0.544","10.7","2.2","4.5","1.5","0.3","1.3","12.9","15.2","17.4","7.4","115.6","114.4"
"","Harrison Barnes","San","F","32.6","32","27.7","14.3","8.6","89","0.798","125","0.544","109","0.413","0.579","0.626","10.7","3.8","1.5","0.3","0.2","0.7","14.5","12.2","16","5.7","127.5","116.5"
"","Justin Champagnie","Was","G-F","23.5","13","25.8","15.3","12.8","14","0.643","54","0.685","48","0.375","0.627","0.633","10.5","7","1.1","1.2","0.9","1.2","17.5","11.6","18.6","6.7","119.5","111.4"
"","Obi Toppin","Ind","F","26.8","30","19.9","18.7","7.9","36","0.861","116","0.733","106","0.358","0.64","0.662","10.5","4.1","1.7","0.8","0.4","0.6","14.6","12.2","16.3","8.4","128.5","110.9"
"","Royce O'Neale","Pho","F","31.6","31","26.3","16.1","10.8","21","0.762","80","0.463","177","0.441","0.599","0.608","10.5","5.6","2.4","1","0.6","1","16","12.8","18.4","7.9","119","109.2"
"","Rudy Gobert","Min","C","32.5","31","33.8","12.1","19.4","110","0.709","195","0.636","0","0","0.636","0.67","10.5","10.7","1.7","0.7","1.4","1.5","21.2","12.3","22.9","6.8","129.8","103"
"","Walker Kessler","Uta","C","23.4","25","29.8","12.6","19","65","0.523","155","0.71","3","0.667","0.715","0.697","10.4","11","1.6","0.5","2.8","1.5","21.4","12","23","7.6","130","113.3"
"","Grant Williams","Cha","F","26.1","16","29.9","14.8","18.5","37","0.838","49","0.551","74","0.365","0.549","0.596","10.4","5.1","2.3","1.1","0.8","1.8","15.5","12.7","17.8","6.6","112.5","107.9"
"","Grayson Allen","Pho","G","29.2","23","23.9","18.4","11.6","50","0.84","50","0.48","133","0.376","0.541","0.585","10.4","3.2","1.8","0.9","0.3","1","13.7","12.3","15.5","6.5","114.7","114.1"
"","Dorian Finney-Smith","Bro","F","31.7","20","29","14.3","10.2","24","0.625","51","0.51","108","0.435","0.607","0.613","10.4","4.6","1.6","0.9","0.6","0.9","15","12","16.5","5.9","119.9","110.4"
"","Patrick Williams","Chi","F","23.3","23","27.1","17.1","14.1","33","0.879","93","0.409","114","0.386","0.502","0.535","10.3","4.3","2.1","0.9","0.6","1.5","14.7","12.4","16.8","6.7","102.6","115.7"
"","Ty Jerome","Cle","G-F","27.5","31","17.7","22.6","13.1","48","0.896","129","0.566","103","0.417","0.593","0.628","10.3","2","3.5","1.2","0","1.1","12.3","13.7","15.8","9.4","126.5","105.1"
"","Chris Boucher","Tor","F","32","29","18.1","22","8.8","66","0.788","117","0.615","111","0.306","0.539","0.58","10.3","4.4","0.7","0.6","0.7","0.8","14.7","11","15.4","7","116.2","112.2"
"","Dalton Knecht","Lal","F","23.7","31","22.7","17.4","6.4","36","0.778","100","0.63","147","0.367","0.583","0.601","10.2","3.5","1.1","0.4","0.1","0.5","13.7","11.3","14.8","6","117.9","113.3"
"","De'Anthony Melton","Gol","G","26.6","6","20.2","23.2","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","103.6","98.1"
"","Derrick Jones Jr.","Lac","F","27.9","30","24.9","16.4","11.2","34","0.882","150","0.573","88","0.375","0.569","0.595","10","3.3","1","1.3","0.4","1","13.4","11","14.3","5.2","114.7","104.9"
"","Tim Hardaway Jr.","Det","G-F","32.8","29","27.2","14.6","7.6","48","0.875","74","0.541","155","0.361","0.541","0.58","10","2","1.6","0.3","0","0.7","12","11.6","13.6","4.7","117.5","117.2"
"","Kevin Porter Jr.","Lac","G-F","24.7","28","20.1","27.3","19.1","51","0.647","196","0.474","74","0.257","0.45","0.472","9.9","3.6","3","1","0.3","2.3","13.5","12.9","16.5","9.4","91.9","103"
"","Amir Coffey","Lac","G-F","27.5","31","24.4","15","8.7","52","0.846","105","0.552","115","0.426","0.598","0.632","9.9","2.6","1.2","0.5","0.1","0.7","12.5","11.1","13.7","5.1","124","108.8"
"","Goga Bitadze","Orl","C-F","25.4","29","24.7","15.4","19.1","58","0.741","172","0.703","14","0.071","0.659","0.681","9.9","8.5","2.1","0.9","1.7","1.5","18.4","12","20.5","9.1","127.3","98"
"","Donte DiVincenzo","Min","G","27.9","31","25.3","18.6","15.3","31","0.806","66","0.485","205","0.356","0.522","0.541","9.9","3.4","3.4","1.2","0.2","1.6","13.3","13.3","16.7","7.7","106.6","106.9"
"","Miles McBride","Nyk","G","24.3","28","24.5","17","9.9","35","0.8","94","0.457","132","0.402","0.542","0.565","9.8","2.6","3","0.9","0.2","0.9","12.4","12.8","15.4","6.9","119.1","110.8"
"","Guerschon Yabusele","Phi","F","29","30","23.7","17.1","15.8","55","0.655","101","0.624","112","0.393","0.606","0.62","9.8","5.2","1.8","0.8","0.4","1.3","15","11.6","16.8","7.6","117.9","104.7"
"","Jaden McDaniels","Min","F","24.3","31","29.7","15.4","10.3","33","0.697","165","0.521","114","0.307","0.496","0.511","9.7","4.5","1.7","1.4","0.8","1","14.2","11.4","15.9","5.7","105.8","102.2"
"","Luguentz Dort","Okc","G","25.7","30","29.3","13.4","6.1","35","0.8","80","0.425","166","0.386","0.528","0.551","9.6","4.6","1.6","1.2","0.8","0.5","14.2","11.2","15.8","5.6","118.4","99.2"
"","Clint Capela","Atl","C","30.6","33","23","16.1","10.6","63","0.54","245","0.58","0","0","0.58","0.583","9.6","9.2","1.3","0.6","0.9","0.9","18.8","10.9","20.1","8.5","121.9","106.7"
"","Dalano Banton","Por","F","25.1","25","16.5","27.1","17.5","56","0.661","115","0.47","87","0.356","0.498","0.525","9.5","2.2","2.6","0.9","0.5","1.7","11.8","12.2","14.4","9.2","102","115.4"
"","Larry Nance Jr.","Atl","F-C","32","15","19.4","15.1","10.4","8","0.875","44","0.659","50","0.52","0.723","0.733","9.5","4.3","1.6","1.1","0.7","0.7","13.8","11.1","15.4","8.3","135.5","108.1"
"","Chris Paul","San","G","39.7","32","29.1","14.8","19.4","50","0.98","85","0.529","155","0.355","0.531","0.58","9.5","4.1","8.4","1.5","0.2","1.8","13.6","17.9","22","9.5","125.5","109.4"
"","Yves Missi","Nor","C","20.6","32","26.9","14.4","14.9","94","0.649","216","0.556","1","0","0.553","0.583","9.4","8.5","1.4","0.7","1.4","1.2","17.9","10.8","19.3","7.2","120","113.7"
"","Nic Claxton","Bro","C","25.7","26","25.6","16.7","15.5","59","0.508","182","0.582","8","0.125","0.566","0.567","9.4","7.4","2","0.9","1.2","1.3","16.8","11.4","18.8","8.1","112.1","107.5"
"","Nickeil Alexander-Walker","Min","G","26.3","31","23.4","16.3","16.4","34","0.765","92","0.576","122","0.434","0.619","0.635","9.4","2.7","2.5","0.9","0.3","1.4","12.1","11.9","14.6","6.8","117.3","106.9"
"","Gary Trent Jr.","Mil","G","26","28","24.9","15.8","7.9","26","0.885","79","0.456","141","0.397","0.545","0.568","9.4","2.2","0.9","1","0.1","0.7","11.6","10.3","12.5","4.3","107.9","107.4"
"","Kevin Huerter","Sac","G-F","26.3","29","25.1","16.4","10.4","23","0.696","78","0.679","162","0.309","0.533","0.544","9.4","3.4","2","1","0.5","1","12.8","11.4","14.8","6.4","107.6","108.3"
"","Jalen Duren","Det","C","21.1","29","24.9","14.9","26.5","84","0.607","158","0.69","0","0","0.69","0.69","9.3","9.1","2.3","0.5","1.1","2","18.4","11.6","20.7","9.3","122.8","102.3"
"","Jay Huff","Mem","C","27.4","29","15.2","19.9","9.9","43","0.767","66","0.712","116","0.414","0.654","0.674","9.3","2.7","0.8","0.3","1.1","0.7","12","10.2","12.9","7.2","126.2","102.8"
"","Nick Richards","Cha","C","27.1","17","21.9","17.9","23.3","76","0.658","94","0.574","1","0","0.568","0.615","9.3","7.8","1.2","0.4","1.2","1.7","17.1","10.5","18.4","8.1","113.4","102.2"
"","Quentin Grimes","Dal","G","24.6","31","21.7","17.4","14.7","52","0.731","93","0.527","121","0.421","0.586","0.61","9.3","4","1.6","0.6","0.3","1.2","13.3","11","15","7.2","115.5","107.7"
"","Spencer Dinwiddie","Dal","G","31.7","31","22.6","17.4","10.9","91","0.89","101","0.436","119","0.336","0.473","0.556","9.3","2.1","3.4","0.9","0.3","0.9","11.5","12.7","14.8","7.2","120.6","110.6"
"","Aaron Nesmith","Ind","G-F","25.2","6","22.7","14.9","12.1","13","0.846","25","0.52","11","0.545","0.611","0.659","9.2","4","1","0.7","0.3","0.8","13.2","10.2","14.2","5.9","123.2","101.2"
"","Caleb Martin","Phi","F","29.3","25","30","14.9","16.8","65","0.646","116","0.457","72","0.375","0.497","0.529","9.2","4.4","2.1","1","0.5","1.5","13.6","11.2","15.6","5.9","105","110.9"
"","Marcus Smart","Mem","G","30.8","18","21.2","19.9","19.3","36","0.833","55","0.436","87","0.333","0.475","0.523","9.2","2.3","3.8","1.3","0.3","1.9","11.5","13","15.3","8.1","106.3","106.3"
"","Dennis Schroder","Gol","G","31.3","7","27.9","20.8","18.6","16","0.813","40","0.375","34","0.206","0.345","0.395","9.1","2","3.9","0.4","0.1","2.4","11.1","13","15","5.9","83.3","108.7"
"","Jalen Wilson","Bro","F","24.2","31","26.3","15.9","11.2","59","0.847","104","0.471","133","0.338","0.492","0.538","9.1","3.4","1.9","0.5","0","1","12.5","11","14.4","5.9","110","112.4"
"","Al Horford","Bos","C-F","38.6","25","27.9","13.5","10.7","12","0.833","54","0.574","137","0.38","0.571","0.581","9.1","5.3","2.2","0.6","0.9","0.9","14.4","11.3","16.6","6.8","117.9","107.7"
"","Trentyn Flowers","Lac","F","19.8","1","14.4","31.2","9.6","1","1","7","0.571","2","0","0.444","0.477","9","4","0","0","0","1","13","9","13","0","90.9","90.7"
"","Carlton Carrington","Was","G","19.4","30","29.8","14.9","18.1","27","0.815","120","0.467","133","0.338","0.488","0.508","9","4.3","3.9","0.8","0.2","1.9","13.3","12.8","17.1","7.1","98.9","113.8"
"","Noah Clowney","Bro","F-C","20.5","23","20","18.9","10.8","29","0.793","49","0.469","115","0.391","0.552","0.577","8.9","3.7","0.7","0.3","0.5","0.9","12.5","9.6","13.3","5.7","109.5","105"
"","Julian Strawther","Den","G","22.7","31","20.5","17.3","10.9","51","0.843","104","0.548","109","0.367","0.549","0.588","8.9","2.1","1.3","0.7","0.4","0.8","11","10.2","12.3","5.7","113.4","107.9"
"","Aaron Wiggins","Okc","G","26","31","20","18.9","9.8","24","0.833","124","0.516","114","0.377","0.54","0.557","8.9","3.2","1.3","0.9","0.3","0.8","12.1","10.3","13.5","6.7","110.1","103.7"
"","Garrison Mathews","Atl","G","28.2","24","18.5","15.5","9.4","49","0.837","18","0.389","116","0.457","0.646","0.688","8.9","1.3","1.5","0.7","0.3","0.6","10.2","10.4","11.7","5.6","133.1","110.3"
"","Tristan da Silva","Orl","F","23.6","30","25.3","15.8","11.4","32","0.781","117","0.521","115","0.339","0.515","0.536","8.8","3.6","1.7","0.4","0.2","1","12.4","10.5","14.1","6","107.8","107.4"
"","Toumani Camara","Por","F","24.6","31","30.6","13.4","16.2","35","0.743","114","0.509","129","0.341","0.51","0.53","8.8","5.7","1.9","1.4","0.5","1.5","14.6","10.7","16.5","6","107.1","112.6"
"","Peyton Watson","Den","G","22.3","31","24.1","14.3","10.6","64","0.781","137","0.562","65","0.354","0.552","0.593","8.8","3.3","1.4","0.8","0.9","0.8","12.1","10.2","13.5","5.7","119.2","111.2"
"","Jusuf Nurkic","Pho","C","30.4","23","24.3","18.7","25.4","65","0.692","99","0.535","56","0.304","0.506","0.55","8.8","9.5","1.9","1","0.7","2.3","18.3","10.7","20.2","8.9","100.6","100.5"
"","Dereck Lively II","Dal","C","20.9","25","24.1","13.2","19.8","60","0.617","129","0.698","0","0","0.698","0.698","8.7","7.8","2.5","0.6","1.6","1.3","16.4","11.2","18.9","9.2","136.3","101.5"
"","Trayce Jackson-Davis","Gol","F","24.9","31","18.7","17.4","11.9","54","0.648","192","0.609","1","0","0.606","0.621","8.7","5.9","2.1","0.4","0.9","0.8","14.5","10.8","16.6","10.2","127","106.6"
"","Kentavious Caldwell-Pope","Orl","G","31.9","33","30.9","12.6","9.5","51","0.922","88","0.58","159","0.289","0.486","0.533","8.7","2","2","1.6","0.6","0.8","10.7","10.7","12.7","4.2","110.4","105.4"
"","Svi Mykhailiuk","Uta","G-F","27.6","9","16.8","21.6","18.6","6","0.667","14","0.571","47","0.404","0.598","0.605","8.6","1.6","1.4","0.9","0.2","1.6","10.1","10","11.6","6.4","104.1","117.8"
"","Ja'Kobe Walter","Tor","G","20.3","17","20.2","19.7","11.2","29","0.724","71","0.507","63","0.286","0.47","0.501","8.6","2.8","1.5","0.6","0.3","1","11.5","10.2","13","6.5","102.9","111.2"
"","Jaime Jaquez Jr.","Mia","G","23.9","26","21.6","20.6","16.5","61","0.754","142","0.479","55","0.255","0.452","0.5","8.6","4.7","2.1","1.1","0.1","1.5","13.3","10.7","15.4","8.1","101.4","104.9"
"","Nikola Jovic","Mia","F","21.6","21","20.1","17.3","9.6","48","0.813","63","0.508","68","0.382","0.542","0.595","8.6","3.6","1.7","0.9","0.1","0.7","12.2","10.3","13.9","7.5","120.7","105.7"
"","Ziaire Williams","Bro","F","23.3","21","21.8","19.1","10.7","44","0.795","93","0.495","66","0.273","0.459","0.507","8.6","4.4","1.1","1","0.3","0.9","13","9.8","14.1","6.4","103.6","104.7"
"","Anthony Black","Orl","G","20.9","33","24","19.2","23.4","85","0.753","160","0.481","79","0.266","0.454","0.508","8.5","2.7","3.5","0.9","0.7","2.2","11.2","12.1","14.8","7.2","97.6","102.3"
"","Cody Martin","Cha","F","29.3","30","26","14.7","13.3","37","0.703","112","0.563","109","0.312","0.516","0.535","8.5","4.7","2.3","1.2","0.7","1.1","13.1","10.7","15.4","6.9","109.9","109.6"
"","Draymond Green","Gol","F","34.8","28","28.5","15.2","25.9","60","0.6","91","0.451","106","0.377","0.513","0.533","8.5","6.3","5.6","1.1","1.1","2.5","14.8","14.1","20.4","9.4","105.6","101.3"
"","Jaylen Nowell","Nor","G","25.5","8","21","21.4","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","94.2","121"
"","Cam Whitmore","Hou","F","20.5","14","12.4","29","7.1","24","0.708","60","0.583","44","0.227","0.481","0.511","8.4","2.4","0.5","0.4","0.1","0.6","10.8","8.9","11.3","7","106.3","104.5"
"","Georges Niang","Cle","F","31.5","32","20.7","16.7","12.3","14","0.786","78","0.641","142","0.373","0.589","0.597","8.4","4","1.5","0.4","0.2","1","12.4","9.9","13.9","7.1","113.4","102.6"
"","Trendon Watford","Bro","G-F","24.1","13","16","23.4","16.8","35","0.857","53","0.509","26","0.308","0.494","0.572","8.3","2.8","1.2","0.4","0.3","1.2","11.1","9.5","12.2","7.6","105.6","103.4"
"","Isaiah Joe","Okc","G","25.5","29","20.7","17","6.1","17","0.706","46","0.522","171","0.351","0.525","0.535","8.3","2.7","1.4","0.7","0.2","0.5","11","9.7","12.4","6.1","110.4","103"
"","Bones Hyland","Lac","G","24.3","12","11.4","29.9","17.2","18","0.833","20","0.35","52","0.442","0.576","0.613","8.2","1.1","1.2","0.9","0.3","1.3","9.3","9.3","10.4","7.8","109.1","100.6"
"","Jake LaRavia","Mem","F","23.2","33","22.1","15.2","22.1","68","0.706","122","0.516","72","0.444","0.572","0.603","8.2","4.5","3.2","0.9","0.5","1.7","12.7","11.4","15.9","8.9","116.4","103.3"
"","Mike Conley","Min","G","37.2","27","25.3","15.7","14.3","36","0.917","59","0.322","138","0.355","0.47","0.512","8.1","2.8","4.4","1.4","0.2","1.2","10.9","12.5","15.3","7.3","113","106.2"
"","Brandin Podziemski","Gol","G","21.8","30","24.2","15.7","11.5","30","0.733","125","0.496","105","0.295","0.472","0.491","8","4.5","3.2","1","0.2","1","12.5","11.2","15.7","8","108.5","107.8"
"","Brice Sensabaugh","Uta","F","21.2","25","16.9","20.1","18.8","23","0.913","58","0.552","97","0.392","0.574","0.603","8","2.6","1.3","0.6","0.1","1.4","10.5","9.3","11.8","7.1","107.4","116.4"
"","Jalen Smith","Chi","F-C","24.8","29","15.4","19.8","8.8","43","0.791","82","0.622","94","0.34","0.563","0.595","8","5.5","0.8","0.3","0.7","0.6","13.5","8.8","14.3","8.5","119","107.2"
"","Luke Kennard","Mem","G","28.5","21","20.2","14.3","14","23","0.826","33","0.394","90","0.444","0.593","0.62","7.9","2.4","2.9","0.6","0.1","1","10.3","10.8","13.2","7.5","124.5","111.8"
"","Sam Hauser","Bos","F","27.1","25","21.6","13.9","4.6","2","1","28","0.75","138","0.362","0.578","0.581","7.8","3.2","1.2","0.8","0.2","0.3","11","8.9","12.1","5.8","122.4","108.4"
"","Moses Moody","Gol","G","22.6","26","15.9","19.9","11","39","0.744","66","0.53","95","0.368","0.543","0.573","7.8","1.8","0.8","0.4","0.2","0.8","9.7","8.7","10.5","5.6","109.3","109.4"
"","Vasilije Micic","Cha","G","31","21","22","20.6","20.3","20","0.8","91","0.33","81","0.358","0.427","0.451","7.8","2.5","3.8","0.6","0","2.1","10.3","11.5","14","7.6","93.5","115.1"
"","A.J. Green","Mil","G","25.3","29","21.8","13.2","10.2","9","0.889","19","0.526","148","0.439","0.644","0.652","7.7","2.3","1.3","0.5","0.1","0.7","10","9","11.3","5.2","120.2","107.4"
"","Kelly Olynyk","Tor","F-C","33.7","9","16.6","21.8","26.6","18","0.833","32","0.406","20","0.45","0.51","0.567","7.6","4.9","2.6","1","0.2","2.1","12.4","10.1","15","11.1","102.2","97.4"
"","Ausar Thompson","Det","G-F","21.9","12","17.4","21.2","16.6","18","0.5","64","0.547","16","0.25","0.513","0.518","7.6","4.2","1.8","0.9","0.3","1.3","11.8","9.4","13.6","8.9","102.8","98.8"
"","DaQuan Jeffries","Cha","G-F","27.3","8","19","14.7","11.7","4","0.75","25","0.6","20","0.45","0.633","0.642","7.5","2.9","0.6","0.6","0.6","0.8","10.4","8.1","11","5","118","109.3"
"","Josh Green","Cha","G","24.1","30","28.8","11.5","14","32","0.594","83","0.422","107","0.421","0.539","0.549","7.5","2.7","1.5","0.9","0.4","1","10.1","9","11.7","4.3","108.7","109.3"
"","Taurean Prince","Mil","F","30.8","30","26","12.6","17.2","17","0.765","68","0.426","110","0.464","0.593","0.604","7.5","4","1.7","0.8","0.2","1.2","11.5","9.1","13.2","5.7","108.7","107.1"
"","Tyrese Martin","Bro","F","25.8","16","16.6","18.3","12.3","11","0.818","29","0.586","63","0.397","0.592","0.609","7.4","3.3","1.3","0.4","0.2","0.8","10.6","8.6","11.9","7.6","115.9","112.1"
"","Shake Milton","Bro","G","28.3","27","18.2","17.3","11.3","33","0.758","85","0.529","72","0.389","0.554","0.58","7.4","1.9","2.4","0.6","0","0.7","9.3","9.7","11.6","7.1","119.3","112.1"
"","Sam Merrill","Cle","G","28.6","28","19.6","15.2","7.5","18","0.944","22","0.636","150","0.353","0.544","0.567","7.3","1.9","1.6","0.6","0.3","0.5","9.2","8.9","10.8","5.7","117.4","105.8"
"","Brandon Clarke","Mem","F","28.3","31","18.4","13.9","8.6","31","0.613","154","0.662","16","0.063","0.609","0.615","7.3","5.1","1","0.8","0.5","0.5","12.4","8.3","13.4","7.3","126.5","99.6"
"","Wendell Carter Jr.","Orl","C-F","25.7","21","24.7","13.1","12.1","55","0.709","76","0.618","40","0.175","0.496","0.549","7.3","7.1","2.2","0.7","0.6","0.8","14.5","9.5","16.7","7.9","119.6","98.8"
"","Kyshawn George","Was","F","21.1","25","25.9","14.7","12.5","32","0.719","63","0.492","125","0.256","0.42","0.448","7.2","4","2.3","0.7","0.7","1.1","11.2","9.6","13.6","6.2","95.2","112.7"
"","Max Christie","Lal","G","21.9","30","21.8","13.6","12.5","63","0.873","78","0.513","75","0.36","0.526","0.598","7.2","2.3","1.2","0.9","0.4","0.7","9.5","8.4","10.7","5","118.3","112.1"
"","Keon Johnson","Bro","G","22.8","30","19.5","20.3","13.2","22","0.727","91","0.473","133","0.286","0.446","0.462","7.2","3.1","1.2","0.7","0.3","1.1","10.3","8.4","11.5","6.1","90.3","105.2"
"","Haywood Highsmith","Mia","F","28.1","28","24.9","11.5","14.3","19","0.684","62","0.565","88","0.443","0.623","0.631","7.1","3.3","1","1","0.6","0.9","10.4","8.2","11.4","4.6","115.6","106.1"
"","Johnny Juzang","Uta","G","23.8","27","16.9","16.1","7.8","19","0.842","43","0.465","110","0.4","0.562","0.583","7","2.4","1","0.4","0.1","0.5","9.4","7.9","10.3","6.1","119.4","114.1"
"","Isaiah Jackson","Ind","F","23","5","16.8","17.7","17.7","14","0.5","23","0.609","0","0","0.609","0.6","7","5.6","1","0.6","1.6","1","12.6","8","13.6","8.1","118.7","99.9"
"","Kris Dunn","Lac","G","30.8","32","23.8","14","15.6","12","0.5","100","0.56","105","0.333","0.529","0.53","7","3.6","2.8","1.8","0.3","1.2","10.6","9.8","13.4","6.9","107.9","100.1"
"","Cameron Payne","Nyk","G","30.4","27","15.1","19.4","8.6","12","0.833","60","0.5","100","0.4","0.563","0.575","7","1.6","2.6","0.6","0.3","0.6","8.6","9.7","11.2","8.1","122.6","104.3"
"","Torrey Craig","Chi","F","34","9","12.5","17.3","0","4","0.75","10","0.7","35","0.429","0.656","0.663","6.9","2.8","0.6","0.2","0.1","0","9.7","7.4","10.2","7.2","136.3","107.2"
"","Andre Drummond","Phi","C","31.4","24","19.3","18.8","23","54","0.574","125","0.528","9","0.111","0.504","0.526","6.9","8","0.5","1.3","0.4","1.7","15","7.4","15.5","6.3","100.4","96.3"
