"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Dalen Terry","Chi","F","22.5","30","13.7","13.7","21.8","34","0.706","58","0.552","35","0.343","0.538","0.574","4.1","1.6","1","0.5","0.3","0.9","5.7","5.2","6.7","5.5","105.9","110.4"
"","Thomas Bryant","Mia","C-F","27.4","10","11.5","13.3","6.6","11","1","11","0.545","17","0.353","0.536","0.624","4.1","3.2","0.4","0.1","0.9","0.2","7.3","4.5","7.7","6","131.6","104.7"
"","Gary Harris","Orl","G","30.3","19","16.4","10.9","10.6","8","0.5","15","0.533","52","0.365","0.545","0.546","4.1","1.2","0.5","0.5","0.3","0.4","5.3","4.6","5.8","3.3","107.2","109.5"
"","Micah Potter","Uta","C","26.7","9","18.1","9.3","16.7","0","0","5","0.6","25","0.4","0.6","0.6","4","5.1","1.3","0.2","0.4","0.7","9.1","5.3","10.4","6.6","123.4","117.3"
"","Cam Spencer","Mem","G","24.7","7","11.6","12.9","17.1","8","1","10","0.4","9","0.444","0.526","0.622","4","1.7","1.6","0.1","0.1","0.6","5.7","5.6","7.3","7.6","127.5","106.9"
"","Josh Richardson","Mia","G","31.3","8","18.7","14","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","87.5","104.1"
"","Blake Wesley","San","G","21.8","22","11.4","18.2","22.6","21","0.714","55","0.545","20","0.2","0.48","0.516","4","0.9","1.9","0.4","0.1","1","4.8","5.9","6.7","6.7","100.2","113.4"
"","Mason Plumlee","Pho","F-C","34.8","30","17.2","11.1","24.7","55","0.6","78","0.564","1","0","0.557","0.586","4","6.1","1.8","0.3","0.7","0.9","10.1","5.8","11.9","8.2","122.4","104.4"
"","Luka Garza","Min","C","26","9","5.2","29.7","10.6","8","0.625","17","0.706","8","0.25","0.6","0.614","3.9","1.2","0.1","0.1","0","0.3","5.1","4","5.2","6","111.9","104.2"
"","Oso Ighodaro","Pho","F","22.5","25","15.8","10.1","14.6","19","0.579","70","0.614","0","0","0.614","0.619","3.9","3.8","0.9","0.5","0.3","0.5","7.6","4.8","8.6","6","124.5","108.3"
"","Kris Murray","Por","F","24.4","26","12.3","14.6","13.6","20","0.4","53","0.566","36","0.306","0.522","0.516","3.9","2","0.7","0.4","0.1","0.5","5.9","4.6","6.7","5.7","105.9","115.9"
"","Aaron Holiday","Hou","G","28.2","21","9.3","14.9","9.2","13","0.846","19","0.526","40","0.425","0.602","0.633","3.9","0.9","1.2","0.2","0.1","0.3","4.8","5.1","6","6.9","133.2","104.6"
"","Daniel Theis","Nor","F-C","32.7","23","14.5","12.3","17.9","20","0.9","51","0.549","22","0.227","0.486","0.544","3.9","3.7","1.5","0.4","0.6","0.7","7.6","5.4","9.1","7.7","112.6","108.1"
"","Doug McDermott","Sac","F","33","22","9.1","15.7","2.8","5","0.6","10","0.5","59","0.407","0.594","0.597","3.9","0.7","0.1","0.1","0","0.1","4.6","4","4.7","2.9","117.3","109.7"
"","Reggie Jackson","Phi","G","34.7","15","11.9","15.7","12.7","2","0.5","21","0.381","34","0.412","0.527","0.528","3.9","1.3","1.9","0.5","0.2","0.5","5.2","5.9","7.1","7.2","112.6","110.5"
"","Landry Shamet","Nyk","G","27.8","4","7.3","15.1","0","0","0","6","0.5","4","0.75","0.75","0.75","3.8","0.5","0.5","0.8","0","0","4.3","4.3","4.8","5.4","150.6","110.5"
"","Cam Reddish","Lal","F-G","25.3","24","19.5","8.5","14.6","21","0.619","34","0.647","36","0.306","0.55","0.568","3.8","2","0.9","1.2","0.4","0.5","5.8","4.6","6.7","3.9","111.4","109.7"
"","Jett Howard","Orl","G","21.3","31","10.2","18","9.3","7","0.857","30","0.5","87","0.31","0.474","0.487","3.8","1.1","0.5","0.2","0.2","0.4","4.9","4.2","5.4","5","98.3","104.9"
"","Mo Bamba","Lac","C","26.6","17","12.5","15.1","14.4","13","0.692","32","0.563","27","0.222","0.458","0.487","3.7","3.7","0.6","0.5","1.1","0.6","7.4","4.4","8.1","6.5","100.3","93.3"
"","Rob Dillingham","Min","G","20","15","8.5","23","23.9","0","0","30","0.467","21","0.429","0.539","0.539","3.7","0.7","1.7","0.1","0","1.1","4.4","5.3","6.1","7.7","96.6","112"
"","Nicolas Batum","Lac","G-F","36","32","18.5","8.8","15.6","13","0.769","18","0.389","79","0.392","0.552","0.57","3.7","2.8","1.6","0.6","0.4","0.6","6.5","5.3","8.1","5.5","119.3","106.5"
"","Isaac Jones","Sac","F","24.5","21","8.3","16.8","18.6","20","0.55","44","0.705","4","0.25","0.677","0.669","3.6","1.5","0.2","0.1","0.4","0.5","5.1","3.8","5.3","4.9","114.1","105.3"
"","Kel'el Ware","Mia","C","20.7","15","9.1","17.3","13.4","5","0.6","34","0.618","11","0.273","0.567","0.572","3.6","2.5","0.3","0.4","0.6","0.5","6.1","3.9","6.4","6.1","104.3","100.9"
